"id","date_start","date_end","event_type","event_recurs","event_name","slug","location","lat","lng","location_accuracy","is_in_barcelona","url","event_notes"
"46",2022-07-01,2022-07-03,"Festa Major",true,"Festa Major de Torre Baró 2022","festa-major-de-torre-bar-2022","Torre Baró - Various",41.4583696,2.180391,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"47",2022-07-01,2022-07-10,"Festa Major",true,"Festa Major del Carmel 2022","festa-major-del-carmel-2022","Carmel - Various",41.4237758,2.1552154,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"48",2022-07-01,2022-08-05,"Film Festival",true,"Sala Montjuïc","sala-montju-c","Castle of Montjuic",41.362959,2.1650636,1,true,"https://www.salamontjuic.org/",""
"49",2022-07-01,2022-09-02,"Music Festival",true,"Nits d'Estiu Calella","nits-d-estiu-calella","Calella",41.6134239,2.6537529,3,false,"https://www.calellabarcelona.com/planifica/esdeviments/nits-d-estiu-a-calella/",""
"50",2022-07-01,2022-09-30,"Music Festival",true,"Nits del Fòrum","nits-del-f-rum","Parc del Fòrum, Barcelona",41.4114594,2.2246577,1,true,"https://www.primaverasound.com/en/nits-del-forum","Open air music in El Fòrum during July/Aug/Sept. A project by Primavera Sound"
"51",2022-07-02,2022-07-02,"Music Festival",true,"Barcelona Beach Festival (BBF 2022)","barcelona-beach-festival-bbf-2022","Platja de la Pau beach by Parc de la Pau in Sant Adrià de Besòs",41.4271619,2.2261029,1,true,"https://www.barcelonayellow.com/bcn-events-calendar/details/1981-tickets-barcelona-beach-festival","Now held in Madrid"
"52",2022-07-05,2022-07-08,"Local / Neighbourhood Festival",true,"Tarragona International Fireworks Competition","tarragona-international-fireworks-competition","Tarragona",41.1188827,1.2444909,3,false,"https://www.tarragonaturisme.cat/es/eventos/concurso-internacional-de-fuegos-artificiales-ciutat-de-tarragona",""
"53",2022-07-06,2022-07-09,"Music Festival",true,"Festival Cruïlla 2022","festival-cru-lla-2022","Parc del Fòrum, Barcelona",41.4114594,2.2246577,1,true,"https://www.cruillabarcelona.com/en/",""
"54",2022-07-07,2022-07-10,"Sporting Festival / Event",true,"European Balloon Festival","european-balloon-festival","Igualada",41.5847817,1.6226538,3,false,"https://www.ebf.cat/index.php/ca/",""
"55",2022-07-14,2022-07-17,"Festa Major",true,"Festa Major del Raval 2022","festa-major-del-raval-2022","El Raval - Various",41.3797129,2.1681474,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"56",2022-07-14,2022-07-24,"Festa Major",true,"Festa Major del Poble-sec 2022","festa-major-del-poble-sec-2022","Poble Sec - Various",41.3725602,2.1675332,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"57",2022-07-15,2022-07-17,"Music Festival",true,"Share Festival","share-festival","Poble Espanyol",41.3688085,2.1482732,1,true,"https://www.sharefestival.org/",""
"58",2022-07-16,2022-07-24,"Music Festival",false,"Cadaqués International Music Festival","cadaqu-s-international-music-festival","Cadaqués",42.2887571,3.2779723,3,false,"https://www.festivalcadaques.com/index.php/ca/",""
"59",2022-07-22,2022-07-26,"Local / Neighbourhood Festival",true,"Concurs Internacional de Focs d'Artificials de Blanes","concurs-internacional-de-focs-d-artificials-de-blanes","Blanes",41.6759103,2.7899934,3,false,"https://focs.blanes.cat/es/51-concurso-internacional-de-fuegos-artificiales-de-la-costa-brava/","This is the 50th year celebration"
"60",2022-07-22,2022-08-07,"Music Festival",true,"Sons del Món 2022 - Roses","sons-del-m-n-2022-roses","Museu de la Ciutadella de Roses, Ciutadella de Roses Av. de Rhode s/n, 17480 Roses",42.2653688,3.1713149,1,false,"https://www.sonsdelmon.cat/","In Emporda"
"61",2022-07-28,2022-09-10,"Music Festival",true,"Mas i Mas Festival","mas-i-mas-festival","Barcelona - Various",41.3873974,2.168568,3,true,"https://masimasfestival.com/en/agenda/",""
"62",2022-07-30,2022-07-30,"Music Festival",true,"Monegros Desert Festival","monegros-desert-festival","Desierto de los Monegros - Fraga",41.5234875,0.3404468,3,false,"https://www.barcelonayellow.com/bcn-events-calendar/details/1277-monegros-desert-festival-near-barcelona",""
"63",2022-08-06,2022-08-14,"LGBT Festival",true,"Circuit Festival","circuit-festival","Illa Fantasia Water Park",41.503559,2.36319,1,false,"https://www.circuitfestival.net/",""
"64",2022-08-12,2022-08-14,"Music Festival",true,"Brunch In The Park / In The City / On The Beach","brunch-in-the-park-in-the-city-on-the-beach","Parc Del Fòrum / Jardins de Joan Brossa Montjuic",41.3682618,2.1650693,1,true,"https://barcelona.brunch-in.com/park/","More Brunch events on the website"
"65",2022-08-13,2022-08-14,"Local / Neighbourhood Festival",true,"Festes de Sant Roc a la Plaça Nova 2022","festes-de-sant-roc-a-la-pla-a-nova-2022","Sant Roc a la Plaça Nova - Various",41.3842534,2.1751129,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
